CY - Canada
CYPO Peawanuck - Peawanuck, Ontario
CYPP Parent - Parent, Quebec
CYPQ Peterborough - Peterborough, Ontario
CYPR Prince Rupert - Prince Rupert, British Columbia
CYPS Pemberton Regional - Pemberton, British Columbia
CYPT Pelee Island - Pelee, Ontario
CYPU Puntzi Mountain - Puntzi Mountain, British Columbia
CYPW Powell River - Powell River, British Columbia
CYPX Puvirnituq - Puvirnituq, Quebec
CYPY Fort Chipewyan - Fort Chipewyan, Alberta
CYPZ Burns Lake - Burns Lake, British Columbia
CYQA Muskoka - District Municipality of Muskoka, Ontario
CYQB Québec City Jean Lesage Int'l - Quebec City, Quebec
CYQD The Pas - The Pas, Manitoba
CYQF Red Deer Regional - Red Deer, Alberta
CYQG Windsor Int'l - Windsor, Ontario
CYQH Watson Lake - Watson Lake, Yukon
CYQI Yarmouth - Yarmouth, Nova Scotia
CYQK Kenora - Kenora, Ontario
CYQL Lethbridge - Lethbridge, Alberta
CYQM Greater Moncton Roméo LeBlanc Int'l - Moncton, New Brunswick
CYQN Nakina - Nakina, Ontario
CYQQ CFB Comox (Comox) - Comox, British Columbia
CYQR Regina Int'l - Regina, Saskatchewan
CYQS St. Thomas Municipal - St. Thomas, Ontario
CYQT Thunder Bay Int'l - Thunder Bay, Ontario
CYQU Grande Prairie - Grande Prairie, Alberta
CYQV Yorkton Municipal - Yorkton, Saskatchewan

CYQW North Battleford - North Battleford, Saskatchewan
CYQX Gander Int'l - Gander, Newfoundland and Labrador
CYQY Sydney/J.A. Douglas McCurdy - Sydney, Nova Scotia
CYQZ Quesnel - Quesnel, British Columbia
CYRA Gamètì/Rae Lakes - Gamèti, Northwest Territories
CYRB Resolute Bay - Resolute, Nunavut
CYRC Chicoutimi/Saint-Honoré Aerodrome - Chicoutimi, Quebec
CYRI Rivière-du-Loup - Rivière-du-Loup, Quebec
CYRJ Roberval - Roberval, Quebec
CYRL Red Lake - Red Lake, Ontario
CYRM Rocky Mountain House - Rocky Mountain House, Alberta
CYRO Ottawa/Rockcliffe (Rockcliffe) - Ottawa, Ontario
CYRP Carp (Ottawa/Carp) - Carp, Ontario
CYRQ Trois-Rivières - Trois-Rivières, Quebec
CYRS Red Sucker Lake - Red Sucker Lake, Manitoba
CYRT Rankin Inlet - Rankin Inlet, Nunavut
CYRV Revelstoke - Revelstoke, British Columbia
CYSA Stratford Municipal - Stratford, Ontario
CYSB Sudbury (Greater Sudbury) - Greater Sudbury, Ontario
CYSC Sherbrooke - Sherbrooke, Quebec
CYSD CFB Suffield (Suffield Heliport) - Suffield, Alberta
CYSE Squamish - Squamish, British Columbia
CYSF Stony Rapids - Stony Rapids, Saskatchewan
CYSG Saint-Georges Aerodrome - Saint-Georges, Quebec
CYSH Smiths Falls-Montague (Russ Beach) -Smiths Falls, Ontario
CYSJ Saint John - Saint John, New Brunswick
CYSK Sanikiluaq - Sanikiluaq, Nunavut
CYSL Saint-Léonard Aerodrome - Saint-Léonard, New Brunswick
CYSM Fort Smith - Fort Smith, Northwest Territories
CYSN St. Catharines/Niagara District - St. Catharines, Ontario
CYSP Marathon Aerodrome - Marathon, Ontario
CYSQ Atlin - Atlin, British Columbia
CYST St. Theresa Point - St. Theresa Point, Manitoba
CYSU Summerside - Summerside, Prince Edward Island
CYSW Sparwood/Elk Valley - Sparwood, British Columbia
CYSY Sachs Harbour (David Nasogaluak Jr Saaryuaq) - Sachs Harbour, Northwest Territories
CYSZ Sainte-Anne-des-Monts Aerodrome - Sainte-Anne-Des-Monts, Quebec
CYTA Pembroke - Pembroke, Ontario
CYTB Tillsonburg - Tillsonburg, Ontario
CYTE Cape Dorset - Cape Dorset, Nunavut
CYTF Alma - Alma, Quebec
CYTH Thompson - Thompson, Manitoba
CYTL Big Trout Lake - Kitchenuhmaykoosib Inninuwug First Nation, Ontario
CYTN Trenton Aerodrome - Trenton, Nova Scotia
CYTQ Tasiujaq - Tasiujaq, Quebec
CYTR CFB Trenton (Trenton) - Trenton, Ontario
CYTS Timmins/Victor M. Power - Timmins, Ontario
CYTZ Billy Bishop Toronto City (Toronto City Centre , Toronto Island) - Toronto, Ontario
CYUB Tuktoyaktuk/James Gruben - Tuktoyaktuk, Northwest Territories
CYUL Montréal–Pierre Elliott Trudeau Int'l - Montreal, Quebec
CYUT Naujaat - Naujaat, Nunavut
CYUX Hall Beach - Hall Beach, Nunavut
CYUY Rouyn-Noranda - Rouyn-Noranda, Quebec
CYVB Bonaventure - Bonaventure, Quebec
CYVC La Ronge (Barber Field) - La Ronge, Saskatchewan
CYVD Virden/R.J. (Bob) Andrew Field Regional Aeordrome - Virden, Manitoba
CYVG Vermilion - Vermilion, Alberta
CYVK Vernon Regional - Vernon, British Columbia
CYVL Colville Lake/Tommy Kochon Aerodrome - Colville Lake, Northwest Territories
CYVM Qikiqtarjuaq - Qikiqtarjuaq, Nunavut
CYVO Val-d'Or - Val-d'Or, Quebec
CYVP Kuujjuaq - Kuujjuaq, Quebec
CYVQ Norman Wells - Norman Wells, Northwest Territories
CYVR Vancouver Int'l - Vancouver, British Columbia
CYVT Buffalo Narrows - Buffalo Narrows, Saskatchewan
CYVV Wiarton - Wiarton, Ontario
CYVZ Deer Lake - Deer Lake First Nation, Ontario
CYWA Petawawa Heliport - Garrison Petawawa, Petawawa, Ontario
CYWE Wekweètì - Wekweeti, Northwest Territories
CYWG Winnipeg James Armstrong Richardson Int'l - Winnipeg, Manitoba
CYWH Victoria Inner Harbour (Victoria Harbour Water) - Victoria, British Columbia
CYWJ Déline - Deline, Northwest Territories
CYWK Wabush - Wabush, Newfoundland and Labrador
CYWL Williams Lake - Williams Lake, British Columbia
CYWM Athabasca - Athabasca, Alberta
CYWN Wainwright/Wainwright (Field 21) (CFB Wainwright) - Wainwright, Alberta
CYWP Webequie - Webequie First Nation, Ontario
CYWV Wainwright Aerodrome - Wainwright, Alberta
CYWY Wrigley - Wrigley, Northwest Territories
CYXC Cranbrook/Canadian Rockies Int'l - Cranbrook, British Columbia
CYXE Saskatoon John G. Diefenbaker Int'l Airpor (tSaskatoon Int'l) - Saskatoon, Saskatchewan
CYXH Medicine Hat - Medicine Hat, Alberta
CYXJ Fort St. John (North Peace) - Fort St. John, British Columbia
CYXK Rimouski - Rimouski, Quebec
CYXL Sioux Lookout - Sioux Lookout, Ontario
CYXN Whale Cove - Whale Cove, Nunavut
CYXP Pangnirtung - Pangnirtung, Nunavut
CYXQ Beaver Creek - Beaver Creek, Yukon
CYXR Earlton (Timiskaming Regional) - Earlton, Ontario
CYXS Prince George - Prince George, British Columbia
CYXT Northwest Regional Terrace-Kitimat (Terrace) - Terrace and Kitimat, British Columbia
CYXU London Int'l - London, Ontario
CYXX Abbotsford Int'l - Abbotsford, British Columbia
CYXY Erik Nielsen Whitehorse Int'l - Whitehorse, Yukon
CYXZ Wawa - Wawa, Ontario
CYYB North Bay/Jack Garland (North Bay) - North Bay, Ontario, Ontario
CYYC Calgary Int'l - Calgary, Alberta
CYYD Smithers - Smithers, British Columbia
CYYE Fort Nelson - Fort Nelson, British Columbia
CYYF Penticton Regional - Penticton, British Columbia
CYYG Charlottetown - Charlottetown, Prince Edward Island
CYYH Taloyoak - Taloyoak, Nunavut
CYYJ Victoria Int'l - Victoria, British Columbia
CYYL Lynn Lake - Lynn Lake, Manitoba
CYYM  Cowley - Cowley, Alberta
CYYN Swift Current - Swift Current, Saskatchewan
CYYO Wynyard/W. B. Needham Field Aerodrome - Wynyard, Saskatchewan
CYYQ Churchill - Churchill, Manitoba
CYYR CFB Goose Bay (Goose Bay) - Happy Valley-Goose Bay, Newfoundland and Labrador
CYYT St. John's Int'l - St. John's, Newfoundland and Labrador
CYYU Kapuskasing - Kapuskasing, Ontario
CYYW Armstrong - Armstrong, Ontario
CYYY Mont-Joli - Mont-Joli, Quebec
CYYZ Toronto Pearson Int'l - Toronto, Ontario
CYZD Downsview (Toronto/Downsview) - Toronto, Ontario
CYZE Gore Bay-Manitoulin - Gore Bay, Ontario
CYZF Yellowknife - Yellowknife, Northwest Territories
CYZG Salluit - Salluit, Quebec
CYZH Slave Lake - Slave Lake, Alberta
CYZP Sandspit - Sandspit, British Columbia
CYZR Sarnia Chris Hadfield - Sarnia, Ontario
CYZS Coral Harbour - Coral Harbour, Nunavut
CYZT Port Hardy - Port Hardy, British Columbia
CYZU Whitecourt - Whitecourt, Alberta
CYZV Sept-Îles - Sept-Îles, Quebec
CYZW Teslin - Teslin, Yukon
CYZX CFB Greenwood (Greenwood) - Greenwood, Nova Scotia
CYZY Mackenzie - Mackenzie, British Columbia
CZAC York Landing - York Factory First Nation, Manitoba
CZAM Salmon Arm - Salmon Arm, British Columbia
CZBA Burlington Executive - Burlington, Ontario
CZBB Boundary Bay (Vancouver/Boundary Bay) - Delta, British Columbia
CZBD Ilford - Ilford, Manitoba
CZBF Bathurst - Bathurst, New Brunswick
CZBM Roland-Désourdy - Bromont, Quebec
CZEE Kelsey - Kelsey, Manitoba
CZEM Eastmain River - Eastmain, Quebec
CZF2 Zephyr/Dillon Field Aerodrome - Zephyr, Ontario
CZFA Faro - Faro, Yukon
CZFD Fond-du-Lac - Fond-du-Lac, Saskatchewan
CZFG Pukatawagan - Pukatawagan, Manitoba
CZFM Fort McPherson - Fort McPherson, Northwest Territories
CZFN Tulita - Tulita, Northwest Territories
CZGF Grand Forks - Grand Forks, British Columbia
CZGI Gods River - Gods River, Manitoba
CZGR Little Grand Rapids - Little Grand Rapids, Manitoba
CZHP High Prairie - High Prairie, Alberta
CZJG Jenpeg - Jenpeg, Manitoba
CZJN Swan River - Swan River, Manitoba
CZKE Kashechewan - Kashechewan First Nation, Ontario
CZLQ Thicket Portage - Thicket Portage, Manitoba
CZMD Muskrat Dam - Muskrat Dam Lake First Nation, Ontario
CZML South Cariboo Regional (108 Mile Ranch) - 108 Mile Ranch, British Columbia
CZMN Pikwitonei - Pikwitonei, Manitoba
CZMT Masset - Masset, British Columbia
CZNG Poplar River - Poplar River First Nation, Manitoba
CZNL Nelson - Nelson, British Columbia
CZPB Sachigo Lake - Sachigo Lake First Nation, Ontario
CZPC Pincher Creek - Pincher Creek, Alberta
CZPO Pinehouse Lake - Pinehouse, Saskatchewan
CZRJ Round Lake (Weagamow Lake) - North Caribou Lake First Nation, Ontario
CZSJ Sandy Lake - Sandy Lake First Nation, Ontario
CZSN South Indian Lake - South Indian Lake, Manitoba
CZST Stewart Aerodrome - Stewart, British Columbia
CZSW Prince Rupert/Seal Cove Water Aerodrome - Prince Rupert, British Columbia
CZTA Bloodvein River - Bloodvein First Nation, Manitoba
CZTM Shamattawa - Shamattawa, Manitoba
CZUC Ignace Municipal - Ignace, Ontario
CZUM Churchill Falls - Churchill Falls, Newfoundland and Labrador
CZVL Edmonton/Villeneuve (Villeneuve) - Villeneuve, Alberta
CZWH Lac Brochet - Lac Brochet, Manitoba
CZWL Wollaston Lake - Wollaston Lake, Saskatchewan
